id,theory_id,principle_id,name,instruction,priority,active
5aa77aee-a506-5898-ba23-2f1ba4e8e743,a5def1ed-618d-51d9-8c32-b5dfa34b2889,b49b8a10-a454-5b8e-acf3-aa70d7c60678,Sondar ideias iniciais,"Antes da leitura, proponha duas questões abertas sobre o conceito central e solicite uma justificativa ou exemplo. Inclua orientações para o professor interpretar as respostas; não atribua conhecimentos à turma sem evidências.",100,true
e0da0b18-92e4-577c-b4d3-49f8551624a0,a5def1ed-618d-51d9-8c32-b5dfa34b2889,b49b8a10-a454-5b8e-acf3-aa70d7c60678,Planejar a ancoragem,"Relacione cada conceito novo a uma ideia prévia identificada ou a investigar. Se essa base não estiver disponível, proponha uma atividade preparatória e indique ao professor que a progressão depende da sondagem.",100,true
aa9f33ae-e2d3-5128-a2d0-6168d64f7ddf,a5def1ed-618d-51d9-8c32-b5dfa34b2889,0c25e067-abcf-563e-a103-cdec7677f2d6,Explicitar relações conceituais,"Após um excerto, peça ao estudante que explique, em palavras próprias, como uma afirmação se relaciona ao conceito estudado. Forneça um critério de avaliação centrado na relação explicada, e não na reprodução da fala.",100,true
a9b4aa4c-41d1-56e6-9e18-6659a09bc28e,a5def1ed-618d-51d9-8c32-b5dfa34b2889,0c25e067-abcf-563e-a103-cdec7677f2d6,Verificar condições de significatividade,"Apresente a finalidade da atividade e uma conexão com uma questão compreensível para a turma. Preveja a possibilidade de o professor reformular o exemplo diante de dificuldades ou desinteresse, sem declarar aprendizagem significativa como resultado garantido.",80,true
fe73576c-b487-5761-bc34-ec8a05f656a8,a5def1ed-618d-51d9-8c32-b5dfa34b2889,118076da-bc6d-5432-ae6d-c689c3e979b4,Construir a ponte conceitual,"Quando a sondagem indicar necessidade de uma ponte conceitual, proponha antes dos excertos um organizador mais inclusivo que o conteúdo subsequente. Explicite a ideia conhecida, a relação de ligação e o novo conteúdo; não o substitua por um resumo.",80,true
363bed36-9672-59e7-8a19-f40653d5c5cb,a5def1ed-618d-51d9-8c32-b5dfa34b2889,118076da-bc6d-5432-ae6d-c689c3e979b4,Retomar o organizador,"Se houver organizador prévio, inclua uma questão posterior em que o estudante retome uma de suas relações para interpretar o debate. Oriente o professor a verificar se a ponte foi compreendida e a reformulá-la quando necessário.",60,true
c919b2bc-8eb3-58cf-8cbf-04edcef54bc7,a5def1ed-618d-51d9-8c32-b5dfa34b2889,7f426deb-c38b-5702-8a56-a6ce48931a9c,Ordenar do geral ao específico,"Apresente primeiro o conceito inclusivo necessário à habilidade e depois duas distinções ou aplicações a excertos. Identifique a relação entre cada caso e o conceito, evitando começar por detalhes que dependam de uma base ainda não trabalhada.",80,true
72286067-021b-5b87-9737-488932d67b41,a5def1ed-618d-51d9-8c32-b5dfa34b2889,7f426deb-c38b-5702-8a56-a6ce48931a9c,Verificar diferenciações,"Inclua uma tarefa de comparação entre dois casos em que o estudante indique atributos comuns e diferenças conceituais. No roteiro docente, explicite a distinção que se pretende observar e um possível equívoco a discutir.",80,true
dfa5d9bf-f06e-5834-b013-9f09b65ed392,a5def1ed-618d-51d9-8c32-b5dfa34b2889,be507169-e998-5621-8dd2-c3c5a55cd1e7,Comparar significados,"Quando dois excertos empregarem um conceito de modos distintos, peça que os estudantes explicitem esses sentidos e suas relações. Diferencie divergência conceitual, contradição factual e discordância de valores; não force equivalência ou consenso.",100,true
27bdb571-769d-5e0e-9116-f20ae2133b3a,a5def1ed-618d-51d9-8c32-b5dfa34b2889,be507169-e998-5621-8dd2-c3c5a55cd1e7,Reformular a compreensão,"Solicite uma explicação revisada ou um esquema de relações após a comparação, com indicação do que foi mantido, diferenciado ou corrigido e por quê. Aceite posições políticas diferentes quando conceitualmente consistentes e justificadas.",80,true
df5c2bea-edbb-59fd-a90f-b9017f9cceff,a5def1ed-618d-51d9-8c32-b5dfa34b2889,9fa8ce7e-95e0-58ba-939c-45f6a50dd865,Mapear dependências,"Indique os conhecimentos necessários à atividade e ordene as tarefas conforme suas dependências conceituais. Inclua um ponto de verificação antes da tarefa mais complexa, com evidência observável de compreensão.",80,true
